lon,lat
18.08572,53.15620
26.88373,58.27777
19.69150,51.84338
24.98923,60.14243
21.23485,52.27733
19.63517,54.45528
-122.33662,47.65803
13.28347,51.22405
8.54810,52.25742
17.03330,61.23770
6.61937,60.24342
15.05407,44.44272
19.52890,49.63173
8.16467,40.57222
18.56180,54.41028
8.90962,52.04233
19.46737,50.76473
18.50833,53.93583
10.20055,50.81572
10.20055,50.81572
-81.26582,28.63677
-80.20483,26.31210
10.94313,52.86030
21.07665,52.51677
21.01300,52.30453
17.61110,53.70373
18.64025,54.35758
9.16635,52.15043
11.11008,50.05083
24.51300,58.22308
17.59282,53.87028
21.62645,49.32820
10.68800,53.85802
10.68800,53.85802
35.89082,32.28205
7.91590,50.86182
18.34678,49.71270
11.57555,48.13652
18.24643,49.76955
10.88700,49.62733
13.12122,55.54897
13.12275,55.55065
22.21936,58.93572
10.02242,53.53352
10.72763,45.45842
-15.57152,27.75183
19.01667,49.83460
5.03657,51.68857
21.56120,53.73533
10.00395,55.89272
11.35910,51.29515
16.39328,48.30008
17.86242,52.82698
16.36930,48.21058
5.23517,52.20357
16.48053,50.68068
7.23310,51.49273
0.44295,52.67065
17.03190,51.11020
17.03190,51.11020
19.35627,51.71277
38.27328,34.54795
17.75368,54.53867
20.96037,52.22043
24.06840,56.93297
24.06840,56.93297
6.84058,49.26645
21.58095,53.68712
7.43350,46.96750
35.00192,29.52172
17.20492,54.66007
10.09172,54.32572
35.43880,30.32897
5.34860,51.97157
-118.08655,52.87905
18.82437,50.35983
11.59807,51.38350
17.08110,51.11250
20.97455,52.23663
22.64192,49.15110
19.62008,54.13550
9.02647,51.75128
13.58585,50.69488
19.93002,49.25970
17.28500,52.22737
22.72632,49.07480
16.71660,50.86915
22.71227,51.06150
23.17353,58.58262
19.45897,51.74875
17.03248,52.25423
15.20470,51.81100
8.42658,49.01892
